agency,agent_notified,agent_responded,grand_total,response_rate
RealNet - Bela-Bela Lifestyle,258,33,291,11.3
RealNet - Bloemfontein,791,782,1573,49.7
RealNet - Bosveld (Thabazimbi),46,150,196,76.5
RealNet - Centurion Core,174,989,1163,85.0
RealNet - George / Wilderness,231,247,478,51.7
RealNet - Midstream Estates,158,362,520,69.6
RealNet - Platinum,606,982,1588,61.8
RealNet - Polokwane,36,153,189,81.0
RealNet - Pretoria North-West,341,625,966,64.7
RealNet - Pristine (Jbay & St Francis),28,48,76,63.2
RealNet - Rainmaker,3541,4383,7924,55.3
RealNet - Sedgefield,4,34,38,89.5
RealNet - Select (Cape Town),378,309,687,45.0
RealNet - Sterling (Uitenhage/ Despatch/PE),84,279,363,76.9
